,codigo_autor,codigo_coautor,num_publicaciones
471,0000-0003-2139-470X,0000-0002-7800-6045,3
472,0000-0003-4817-8986,0000-0001-8957-2002,2
473,0000-0001-8957-2002,0000-0003-4817-8986,2
474,0000-0003-1419-7484,0000-0003-4908-5431,8
475,0000-0003-4908-5431,0000-0003-1419-7484,8
476,0000-0002-7722-7348,0000-0002-1480-6115,2
477,0000-0002-7722-7348,0000-0002-1376-4849,1
478,0000-0002-1480-6115,0000-0002-7722-7348,2
479,0000-0002-1480-6115,0000-0002-1376-4849,1
480,0000-0002-1376-4849,0000-0002-7722-7348,1
481,0000-0002-1376-4849,0000-0002-1480-6115,1
482,0000-0002-9282-9013,0000-0003-4596-7242,2
483,0000-0003-4596-7242,0000-0002-9282-9013,2
484,0000-0002-2753-1800,0000-0002-7086-2621,7
485,0000-0002-7086-2621,0000-0002-2753-1800,7
486,0000-0001-8477-6188,0000-0002-3864-8246,6
487,0000-0001-8477-6188,0000-0002-5148-7643,3
488,0000-0002-3864-8246,0000-0001-8477-6188,6
489,0000-0002-3864-8246,0000-0002-5148-7643,3
490,0000-0002-5148-7643,0000-0001-8477-6188,3
491,0000-0002-5148-7643,0000-0002-3864-8246,3
492,0000-0002-7805-5744,0000-0003-2448-7063,1
